Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
RP-1903_HK-131	RP-1903_HK-131.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	235208631.0	0.0	101.0	48.0	50.33541163181913	101.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
RP-1903_HK-133	RP-1903_HK-133.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	90358741.0	0.0	101.0	51.0	61.261332522600796	101.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	warn	pass
RP-1903_HK-134	RP-1903_HK-134.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	262763597.0	0.0	101.0	48.0	42.84677685664923	101.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
RP-1903_HK-139	RP-1903_HK-139.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	158752103.0	0.0	101.0	49.0	57.57736780509462	101.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
RP-1903_HK006_0016	RP-1903_HK006_0016.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	99733020.0	0.0	101.0	49.0	54.42673479829312	101.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
RP-1903_HK010_0026	RP-1903_HK010_0026.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	208312277.0	0.0	101.0	48.0	50.259366904885006	101.0	pass	pass	fail	pass	warn	pass	warn	pass	warn	pass	pass
RP-1903_HK011_0029	RP-1903_HK011_0029.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	128644677.0	0.0	101.0	51.0	60.62453823026358	101.0	pass	pass	pass	pass	warn	warn	pass	pass	warn	pass	pass
RP-1903_HK024_0065	RP-1903_HK024_0065.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	148661747.0	0.0	101.0	50.0	58.88286191258906	101.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	warn	pass
RP-1903_HK028_0073	RP-1903_HK028_0073.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	124953770.0	0.0	101.0	49.0	58.76688350307556	101.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	warn	pass
RP-1903_HK044_0109	RP-1903_HK044_0109.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	106565443.0	0.0	101.0	49.0	60.33484146467373	101.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	warn	pass
RP-1903_HK085-001	RP-1903_HK085-001.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	196930574.0	0.0	101.0	48.0	46.519029689058804	101.0	pass	pass	fail	pass	warn	pass	warn	pass	fail	pass	pass
RP-1903_HK101-001	RP-1903_HK101-001.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	254561137.0	0.0	101.0	50.0	54.47442012016083	101.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
RP-1903_HK106-001	RP-1903_HK106-001.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	123821615.0	0.0	101.0	51.0	61.091559882460835	101.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
RP-1903_OUN_HK018_0047	RP-1903_OUN_HK018_0047.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	244707595.0	0.0	101.0	50.0	39.153454279446024	101.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
RP-1903_OUN_HK047_0116	RP-1903_OUN_HK047_0116.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	203272529.0	0.0	101.0	50.0	20.57944693970418	101.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	pass
RP-1903_OUN_HK079_001	RP-1903_OUN_HK079_001.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	198636825.0	0.0	101.0	50.0	18.51689576328526	101.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
RP-1903_OUN_HK080_001	RP-1903_OUN_HK080_001.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	210267648.0	0.0	101.0	50.0	19.83748742115327	101.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
RP-1903_OUN_HK081_001	RP-1903_OUN_HK081_001.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	245503595.0	0.0	101.0	51.0	20.490163020259683	101.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
RP-1903_OUN_HK112_001	RP-1903_OUN_HK112_001.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	233969973.0	0.0	101.0	50.0	31.45339457271633	101.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
RP-1903_OUN_HK116_001	RP-1903_OUN_HK116_001.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	212617989.0	0.0	101.0	50.0	22.464902809453243	101.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
RP-1903_OUN_HK124_001	RP-1903_OUN_HK124_001.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	114429738.0	0.0	101.0	49.0	38.64726383426165	101.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
RP-1903_OUN_HK137_001	RP-1903_OUN_HK137_001.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	193302170.0	0.0	101.0	50.0	37.63127977203202	101.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
RP-2034_RGP_552_3	RP-2034_RGP_552_3.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	134199715.0	0.0	101.0	50.0	15.031908714354964	101.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
RP-2034_RGP_554_3	RP-2034_RGP_554_3.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	203582993.0	0.0	101.0	51.0	25.018438988993385	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
