Sample	Mapping Rate	Unique Rate of Mapped	Duplicate Rate of Mapped	Duplicate Rate of Mapped, excluding Globins	Base Mismatch	End 1 Mapping Rate	End 2 Mapping Rate	End 1 Mismatch Rate	End 2 Mismatch Rate	Expression Profiling Efficiency	High Quality Rate	Exonic Rate	Intronic Rate	Intergenic Rate	Intragenic Rate	Ambiguous Alignment Rate	High Quality Exonic Rate	High Quality Intronic Rate	High Quality Intergenic Rate	High Quality Intragenic Rate	High Quality Ambiguous Alignment Rate	Discard Rate	rRNA Rate	Chimeric Alignment Rate	End 1 Sense Rate	End 2 Sense Rate	Avg. Splits per Read	Alternative Alignments	Chimeric Reads	Duplicate Reads	End 1 Antisense	End 2 Antisense	End 1 Bases	End 2 Bases	End 1 Mapped Reads	End 2 Mapped Reads	End 1 Mismatches	End 2 Mismatches	End 1 Sense	End 2 Sense	Exonic Reads	Failed Vendor QC	High Quality Reads	Intergenic Reads	Intragenic Reads	Ambiguous Reads	Intronic Reads	Low Mapping Quality	Low Quality Reads	Mapped Duplicate Reads	Mapped Reads	Mapped Unique Reads	Mismatched Bases	Non-Globin Reads	Non-Globin Duplicate Reads	Reads excluded from exon counts	Reads used for Intron/Exon counts	rRNA Reads	Total Bases	Total Mapped Pairs	Total Read Number	Unique Mapping, Vendor QC Passed Reads	Unpaired Reads	Read Length	Genes Detected	Estimated Library Complexity	Genes used in 3' bias	Mean 3' bias	Median 3' bias	3' bias Std	3' bias MAD_Std	3' Bias, 25th Percentile	3' Bias, 75th Percentile	Median of Avg Transcript Coverage	Median of Transcript Coverage Std	Median of Transcript Coverage CV	Median Exon CV	Exon CV MAD
RP-1903_HK-087	0.992722	1	0	0	0.0018251	0.994215	0.991229	0.00178025	0.00187007	0.952096	0.940977	0.959076	0.0224016	0.00825787	0.981478	0.0102644	0.965568	0.0205403	0.00590853	0.986108	0.00798356	0	0.00429122	0	0.00685196	0.993377	0.458021	19512072	2920100	0	106883108	711943	12317660939	12280659993	121957039	121590693	21928575	22965713	737411	106785518	233580812	0	229172880	2011185	239036682	2499865	5455870	11957458	14374852	0	243547732	243547732	44894288	243547728	0	0	243547732	1045118	24598320932	121341554	264845347	245333275	0	101	21887	0	11289	0.493121	0.484848	0.311565	0.405895	0.213019	0.761905	0	0	0.913092	0.194562	0.187914
RP-1903_HK-095	0.984016	1	0	0	0.00180237	0.985769	0.982262	0.00187049	0.00173401	0.931961	0.938936	0.9471	0.0274345	0.00942577	0.974534	0.0160401	0.954624	0.0251393	0.0065667	0.979763	0.0136699	0	0.0154622	0	0.0110221	0.989286	0.403823	18492450	3356338	0	102417633	1110331	11954320610	11911797186	118359610	117938586	22360416	20655195	1141435	102527630	223797929	0	221868813	2227292	230280651	3790253	6482722	13528097	14429383	0	236298196	236298196	43015611	236298172	0	0	236298196	3653684	23866117796	117595752	258629071	240136621	0	101	22385	0	11802	0.546223	0.564815	0.303544	0.38912	0.286885	0.815789	0	0	1.01586	0.262776	0.256435
RP-1903_HK-100	0.992905	1	0	0	0.00185459	0.994615	0.991194	0.00181114	0.00189819	0.928955	0.934273	0.935593	0.0414016	0.00812352	0.976995	0.0148815	0.941913	0.0396807	0.00581651	0.981594	0.0125893	0	0.00470331	0	0.00722141	0.992852	0.44681	24607064	4028158	0	121549593	873383	13888778559	13841006973	137512659	137039673	25154520	26272923	884144	121318669	256869325	0	256506735	2230331	268236240	4085761	11366915	14499799	18045597	0	274552332	274552332	51427443	274552319	0	0	274552332	1291305	27729785532	136756105	301121314	276514250	0	101	22217	0	10995	0.504548	0.5	0.31113	0.411833	0.224138	0.78125	0	0	0.875214	0.179535	0.176181
RP-1903_HK-104	0.994463	1	0	0	0.00184118	0.995775	0.993151	0.00173526	0.00194737	0.953384	0.938228	0.958692	0.0215786	0.00985771	0.980271	0.0098715	0.96842	0.0189644	0.00521937	0.987384	0.00739628	0	0.00226559	0	0.00681127	0.993469	0.475489	23213665	2182566	0	92382800	606626	10667516778	10639404236	105618978	105340636	18510943	20718829	633560	92281326	202245328	0	197928293	2079579	206797547	2082488	4552219	10991112	13031321	0	210959614	210959614	39229772	210959606	0	0	210959614	477948	21306921014	105165570	235347925	212134260	0	101	21352	0	10680	0.473929	0.460674	0.315548	0.416173	0.182432	0.75	0	0	0.901834	0.182742	0.178105
RP-1903_HK-107	0.994666	1	0	0	0.00184994	0.995987	0.993345	0.00177714	0.00192294	0.945766	0.948145	0.950837	0.0286355	0.0092945	0.979473	0.0112328	0.957759	0.0266772	0.0064291	0.984436	0.00913468	0	0.00365523	0	0.00704521	0.993232	0.452078	19418730	1492623	0	99279335	676345	11449735215	11419367141	113363715	113063041	20347829	21958722	704406	99259374	215294981	0	214685297	2104523	221778818	2543415	6483837	10309044	11741459	0	226426756	226426756	42306551	226426742	0	0	226426756	827643	22869102356	112914165	247059676	227640946	0	101	22540	0	11196	0.480314	0.464789	0.316152	0.416341	0.190476	0.753165	0	0	0.90813	0.193102	0.188961
RP-1903_HK-108	0.994709	1	0	0	0.00180747	0.996046	0.993372	0.00173038	0.00188476	0.942605	0.946335	0.947619	0.031691	0.00921004	0.97931	0.0114803	0.954556	0.0299083	0.00632941	0.984464	0.00920636	0	0.00276755	0	0.00670351	0.993544	0.458249	20773280	1861064	0	108487620	705377	12512047458	12478454959	123881658	123549059	21650640	23518938	732156	108546429	234469970	0	234152247	2278847	242311294	2840576	7841324	11506606	13278470	0	247430717	247430717	45169578	247430714	0	0	247430717	684777	24990502417	123389468	269520148	248746868	0	101	22486	0	11132	0.48591	0.475	0.317907	0.426247	0.192593	0.769231	0	0	0.911935	0.186683	0.18617
RP-1903_HK-114	0.993517	1	0	0	0.00174398	0.995117	0.991917	0.00171343	0.00177463	0.942104	0.941275	0.948251	0.0270798	0.0136356	0.975331	0.0110335	0.96346	0.0220066	0.00562854	0.985466	0.00890535	0	0.00196923	0	0.00812122	0.991903	0.463243	12802610	508931	0	40826066	332471	4759321798	4744018076	47121998	46970476	8154780	8418891	334272	40730744	89223290	0	88566849	1283006	91771294	1038174	2548004	5044288	5525625	0	94092474	94092474	16573671	94092442	0	0	94092474	185290	9503339874	46888314	107509053	94706443	0	101	19816	0	8458	0.460833	0.439024	0.309026	0.397542	0.181818	0.722222	0	0	0.918915	0.182885	0.174262
RP-1903_HK-115	0.994358	1	0	0	0.00183334	0.995721	0.992995	0.00175232	0.00191458	0.947088	0.94649	0.952462	0.027218	0.00876193	0.97968	0.0115585	0.959365	0.0253023	0.00615327	0.984667	0.00917945	0	0.0030706	0	0.00673895	0.993496	0.451933	19776649	1926542	0	108543993	710389	12585166206	12550710561	124605606	124264461	22053260	24029337	736435	108520190	237039173	0	235552958	2180581	243812929	2876557	6773756	11560941	13317109	0	248870067	248870067	46082597	248870059	0	0	248870067	764180	25135876767	124089528	270058817	250282168	0	101	22645	0	11472	0.490688	0.482972	0.318366	0.426783	0.2	0.77551	0	0	0.897177	0.180815	0.17957
RP-1903_HK-116	0.99412	1	0	0	0.00187172	0.995704	0.992536	0.00174815	0.00199569	0.950103	0.942914	0.955723	0.0251306	0.00818591	0.980853	0.0109609	0.962344	0.0232282	0.00573385	0.985572	0.00869372	0	0.0026389	0	0.00635632	0.993827	0.462339	16355443	2096316	0	90258522	560120	10370384878	10337386663	102677078	102350363	18128996	20630254	577382	90182705	195949344	0	193323230	1678336	201101815	2247290	5152471	9668387	11704211	0	205027441	205027441	38759250	205027438	0	0	205027441	541047	20707771541	102172284	222595584	206240141	0	101	21762	0	10925	0.479938	0.466667	0.312837	0.409517	0.195652	0.75	0	0	0.917611	0.19497	0.189469
RP-1903_HK-119	0.995275	1	0	0	0.00177966	0.996185	0.994366	0.00177136	0.00178798	0.95466	0.946061	0.959192	0.0217851	0.00858968	0.980977	0.0104336	0.966947	0.0195821	0.0053296	0.986529	0.00814136	0	0.00188166	0	0.00626036	0.993996	0.481599	21009516	1106511	0	98237373	593280	11309129883	11288474979	111971583	111767079	20032569	20183552	618876	98218357	214608249	0	211670406	1921843	219482420	2334399	4874171	11034233	12068256	0	223738662	223738662	40216121	223738657	0	0	223738662	420999	22597604862	111637182	245810287	224800771	0	101	22026	0	11172	0.471456	0.454259	0.317633	0.420727	0.180642	0.75	0	0	0.888782	0.177253	0.172306
