Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
193CP_LS_R1	193CP_LS_R1.bam	Conventional base calls	Sanger / Illumina 1.9	265438919.0	0.0	101.0	49.0	18.333212486388966	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
204H_AM_M1	204H_AM_M1.bam	Conventional base calls	Sanger / Illumina 1.9	126601724.0	0.0	76.0	50.0	51.16865419433092	76.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
205E_BD_M1	205E_BD_M1.bam	Conventional base calls	Sanger / Illumina 1.9	125659965.0	0.0	76.0	51.0	49.49917752722101	76.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
210DB_BW_M1	210DB_BW_M1.bam	Conventional base calls	Sanger / Illumina 1.9	106309587.0	0.0	76.0	49.0	54.254146072605266	76.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
227DJ_JP_M1	227DJ_JP_M1.bam	Conventional base calls	Sanger / Illumina 1.9	113872398.0	0.0	76.0	50.0	50.44684654795609	76.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
247DT_SH_M1	247DT_SH_M1.bam	Conventional base calls	Sanger / Illumina 1.9	129264037.0	0.0	76.0	51.0	50.49890121863859	76.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
250DV_LR_M1	250DV_LR_M1.bam	Conventional base calls	Sanger / Illumina 1.9	70885955.0	0.0	76.0	49.0	32.94347786031703	76.0	pass	fail	pass	pass	fail	pass	fail	pass	fail	pass	pass
251DW_SD_M1	251DW_SD_M1.bam	Conventional base calls	Sanger / Illumina 1.9	66380608.0	0.0	76.0	49.0	40.0833846655684	76.0	pass	fail	pass	pass	fail	pass	fail	pass	fail	pass	pass
252DX_DC_M1	252DX_DC_M1.bam	Conventional base calls	Sanger / Illumina 1.9	74463728.0	0.0	76.0	50.0	40.64398125214417	76.0	pass	fail	pass	pass	fail	pass	fail	pass	fail	pass	pass
253DY_HA_M1	253DY_HA_M1.bam	Conventional base calls	Sanger / Illumina 1.9	63155378.0	0.0	76.0	49.0	53.45685552285856	76.0	pass	fail	pass	pass	fail	pass	fail	pass	warn	pass	pass
254DZ_WP_M1	254DZ_WP_M1.bam	Conventional base calls	Sanger / Illumina 1.9	141914019.0	0.0	76.0	50.0	24.67094032619082	76.0	pass	fail	pass	pass	fail	pass	warn	pass	fail	pass	pass
255EA_GC_M1	255EA_GC_M1.bam	Conventional base calls	Sanger / Illumina 1.9	65081125.0	0.0	76.0	49.0	32.35217072738167	76.0	pass	fail	pass	pass	fail	pass	fail	pass	fail	pass	pass
26I_SK_M1	26I_SK_M1.bam	Conventional base calls	Sanger / Illumina 1.9	81894785.0	0.0	76.0	50.0	31.601862397580515	76.0	pass	fail	pass	pass	fail	pass	fail	pass	fail	pass	pass
361AL_CC_M1	361AL_CC_M1.bam	Conventional base calls	Sanger / Illumina 1.9	124650481.0	0.0	76.0	51.0	50.2380731633696	76.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
373HQ_BTG_M1	373HQ_BTG_M1.bam	Conventional base calls	Sanger / Illumina 1.9	195371799.0	0.0	76.0	48.0	47.237896628036815	76.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
37L_NA_M1	37L_NA_M1.bam	Conventional base calls	Sanger / Illumina 1.9	78210925.0	0.0	76.0	52.0	74.54109223016367	76.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
41M_MW_M1	41M_MW_M1.bam	Conventional base calls	Sanger / Illumina 1.9	119325117.0	0.0	76.0	51.0	41.12415038224993	76.0	pass	fail	pass	pass	fail	pass	warn	pass	fail	pass	pass
431-1_A_3	431-1_A_3.bam	Conventional base calls	Sanger / Illumina 1.9	101326828.0	0.0	101.0	49.0	61.52552969308298	101.0	pass	pass	pass	pass	warn	warn	pass	pass	warn	warn	pass
