Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
MUN_FAM2_TOTALMDC1A1_05	42719378.0	202.0	39946028.0	93.51	200.91	29107119.0	29106906.0	28844363.0	241029.0	13652.0	8075.0	0.19	0.01	1.59	0.01	1.54	2001261.0	4.68	1936.0	0.0	0.01	0.6	0.06	11495	689689	68969
MUN_FAM3_PARTIALMDC1A1_01	138172974.0	202.0	129908861.0	94.02	200.79	95435220.0	95434430.0	94339745.0	1006423.0	53481.0	35571.0	0.18	0.01	1.61	0.01	1.52	6187333.0	4.48	8411.0	0.01	0.01	0.8	0.08	23240	1859208	185921
MUN_FAM3_PARTIALMDC1A1_02	21016322.0	202.0	19578742.0	93.16	200.76	14814548.0	14814423.0	14673777.0	128804.0	7132.0	4835.0	0.19	0.01	1.66	0.01	1.54	973562.0	4.63	1067.0	0.01	0.01	1.38	0.06	3193	440602	19157
MUN_FAM3_PARTIALMDC1A1_03	38478690.0	202.0	35859079.0	93.19	200.69	20242741.0	20242451.0	20002374.0	220091.0	12995.0	7281.0	0.19	0.01	1.89	0.01	1.53	1642750.0	4.27	3968.0	0.01	0.01	1.02	0.07	8844	902137	61911
MUN_FAM3_PARTIALMDC1A1_05	12972899.0	202.0	11529253.0	88.87	200.8	8784304.0	8784239.0	8697172.0	79338.0	5120.0	2674.0	0.2	0.0	1.53	0.0	1.49	818710.0	6.31	500.0	0.0	0.03	4.34	0.05	4238	613134	7064
MUN_FAM4_ATYPICALMDC1A_01_R1	34328325.0	202.0	32135621.0	93.61	200.77	23395711.0	23395470.0	23186941.0	190054.0	11335.0	7381.0	0.19	0.01	1.7	0.01	1.59	1464133.0	4.27	2468.0	0.01	0.01	0.52	0.08	11903	618973	95227
MUN_FAM4_ATYPICALMDC1A_01_R2	117366126.0	202.0	106831044.0	91.02	200.67	84798475.0	84797752.0	83926922.0	783783.0	53009.0	34761.0	0.17	0.01	1.64	0.01	1.57	8636963.0	7.36	29880.0	0.03	0.01	0.73	0.06	23353	1704768	140118
MUN_FAM4_ATYPICALMDC1A_01_R3	43907967.0	202.0	40305337.0	91.8	200.78	31747073.0	31746845.0	31457698.0	260013.0	18233.0	11129.0	0.19	0.01	1.68	0.01	1.57	2723269.0	6.2	4859.0	0.01	0.01	0.71	0.05	11357	806359	56786
MUN_FAM5_SIBLINGMDC1A_01_R1	33568363.0	202.0	31171165.0	92.86	200.57	24159449.0	24159219.0	23925969.0	213843.0	12878.0	6759.0	0.2	0.01	1.67	0.01	1.56	1645747.0	4.9	2419.0	0.01	0.02	0.61	0.06	21711	662188	65133
MUN_FAM5_SIBLINGMDC1A_01_R2	34314732.0	202.0	32149666.0	93.69	200.82	24772713.0	24772499.0	24525106.0	230052.0	10688.0	6867.0	0.19	0.01	1.64	0.01	1.55	1503223.0	4.38	2244.0	0.01	0.01	0.48	0.06	11993	575650	71956
MUN_FAM5_SIBLINGMDC1A_01_R3	35157958.0	202.0	31856404.0	90.61	200.83	24335721.0	24335505.0	24106833.0	210332.0	11325.0	7231.0	0.18	0.01	1.64	0.01	1.55	1754368.0	4.99	2955.0	0.01	0.02	3.15	0.06	9562	1505984	28685
M_0146-01-H1	70192028.0	152.0	61799773.0	88.04	148.94	25653668.0	25652613.0	25380658.0	244838.0	20882.0	7290.0	1.17	0.01	1.41	0.0	1.44	6056721.0	8.63	8804.0	0.01	0.55	2.06	0.02	486579	1822458	17694
NH11-441	49341793.0	152.0	45875913.0	92.98	151.0	24802826.0	24802429.0	24560929.0	221222.0	13717.0	6958.0	0.18	0.01	1.48	0.0	1.46	2842844.0	5.76	4421.0	0.01	0.02	0.37	0.03	29458	544970	44187
NH12-1413	51543002.0	152.0	47674564.0	92.49	151.02	26316702.0	26316287.0	26047485.0	241540.0	20493.0	7184.0	0.19	0.01	1.48	0.0	1.45	3263379.0	6.33	6511.0	0.01	0.02	0.35	0.04	29197	510956	58395
NH12-843_Fibroblasts	23353004.0	202.0	21446863.0	91.84	200.11	18381261.0	18381193.0	18246096.0	118147.0	12417.0	4601.0	0.2	0.01	1.7	0.01	1.55	1721016.0	7.37	1697.0	0.01	0.03	0.29	0.04	15286	147761	20381
NH12-843_MyoD_Day5	46398099.0	202.0	42485862.0	91.57	200.0	33458037.0	33457786.0	33157441.0	262697.0	28308.0	9591.0	0.22	0.01	1.77	0.01	1.53	3084181.0	6.65	7621.0	0.02	0.08	1.39	0.07	42620	740522	37292
OUN_HK018_0047	100751945.0	202.0	91501214.0	90.82	200.72	81224951.0	81224322.0	80441408.0	701244.0	51657.0	30642.0	0.21	0.01	1.66	0.01	1.61	7232472.0	7.18	7935.0	0.01	0.01	0.45	0.05	39418	1773815	197091
OUN_HK047_0116	89734328.0	202.0	82861471.0	92.34	200.69	72199855.0	72199550.0	71352530.0	791862.0	30752.0	24711.0	0.24	0.0	1.45	0.0	1.47	5112773.0	5.7	6410.0	0.01	0.01	0.52	0.05	30236	1572259	151179
OUN_HK079_001	85532501.0	202.0	79100137.0	92.48	200.94	68302428.0	68302037.0	67503487.0	744597.0	31967.0	22377.0	0.2	0.0	1.53	0.0	1.49	5244649.0	6.13	2639.0	0.0	0.01	0.51	0.05	20791	1060331	103954
OUN_HK080_001	90577110.0	202.0	82693008.0	91.3	200.61	73372441.0	73372003.0	72616680.0	700642.0	33794.0	21325.0	0.22	0.01	1.55	0.0	1.52	5825541.0	6.43	4791.0	0.01	0.01	0.4	0.05	44647	1785887	223236
OUN_HK081_001	105776439.0	202.0	97492957.0	92.17	200.79	87398811.0	87398293.0	86484071.0	849504.0	37992.0	27244.0	0.21	0.0	1.48	0.0	1.44	6398708.0	6.05	5127.0	0.0	0.01	0.58	0.05	29369	1703430	146847
OUN_HK112_001	100631774.0	202.0	92543874.0	91.96	200.77	82318636.0	82317922.0	81490796.0	756722.0	42895.0	28223.0	0.22	0.01	1.65	0.01	1.51	6195476.0	6.16	12771.0	0.01	0.01	0.42	0.06	38360	1611131	230162
OUN_HK116_001	96812448.0	202.0	89029963.0	91.96	200.09	75332422.0	75331922.0	74495691.0	777891.0	34858.0	23982.0	0.23	0.01	1.74	0.01	1.5	5315458.0	5.49	4149.0	0.0	0.01	0.86	0.05	26770	2302256	133852
OUN_HK124_001	52114834.0	202.0	48051681.0	92.2	200.89	42924222.0	42923915.0	42467671.0	420112.0	24104.0	12335.0	0.15	0.01	1.81	0.01	1.51	2765971.0	5.31	2091.0	0.0	0.01	0.35	0.06	30836	1079242	185013
OUN_HK137_001	87264270.0	202.0	81246720.0	93.1	200.7	68276541.0	68276132.0	67575947.0	639799.0	33878.0	26917.0	0.22	0.01	1.65	0.01	1.54	4041480.0	4.63	4147.0	0.0	0.01	0.76	0.08	23199	1763131	185593
RGP_1214_3_M1	54370651.0	202.0	50700498.0	93.25	201.04	47823395.0	47823190.0	47388849.0	404997.0	18829.0	10720.0	0.15	0.0	1.56	0.0	1.57	2735074.0	5.03	2531.0	0.0	0.01	0.63	0.07	13134	827472	91941
RGP_248_3	55555643.0	202.0	50640216.0	91.15	200.64	32197033.0	32196814.0	31810366.0	351714.0	26153.0	8800.0	0.2	0.01	1.5	0.01	1.53	3542697.0	6.38	2696.0	0.0	0.01	1.34	0.04	9856	1320752	39425
RGP_273_3	63123218.0	202.0	58739098.0	93.05	200.83	52424549.0	52424288.0	51861132.0	509830.0	37913.0	15674.0	0.18	0.0	1.78	0.0	1.55	3182634.0	5.04	2552.0	0.0	0.01	0.46	0.06	22621	1040584	135728
RGP_54_3_2	59214445.0	202.0	54838690.0	92.61	199.9	49905533.0	49905342.0	49381736.0	489219.0	21529.0	13049.0	0.43	0.01	1.65	0.0	1.41	3366527.0	5.69	3906.0	0.01	0.1	0.66	0.06	122600	809162	73560
RGP_552_3	54799687.0	202.0	48936810.0	89.3	200.49	35155509.0	35155247.0	34787163.0	342077.0	15725.0	10544.0	0.2	0.01	1.53	0.01	1.56	3988392.0	7.28	6220.0	0.01	0.39	2.27	0.05	268865	1564930	34470
RGP_554_3_2	78033723.0	202.0	67731555.0	86.8	200.39	45597277.0	45595913.0	45192747.0	352341.0	31906.0	20283.0	0.28	0.01	1.81	0.01	1.55	9023452.0	11.56	12641.0	0.02	0.02	0.36	0.09	53876	969760	242440
RGP_558_3	83049892.0	202.0	69971598.0	84.25	200.45	48581948.0	48580764.0	48108158.0	410207.0	38526.0	25057.0	0.28	0.01	1.99	0.01	1.57	11957868.0	14.4	10006.0	0.01	0.02	0.52	0.12	33649	874876	201895
RGP_56_3_3	41766856.0	202.0	38458251.0	92.08	199.89	31657039.0	31656673.0	31371827.0	262440.0	14074.0	8698.0	0.42	0.01	1.43	0.0	1.49	2695097.0	6.45	4349.0	0.01	0.08	0.58	0.06	67684	490711	50763
RGP_673_3	28232007.0	202.0	22189092.0	78.6	200.19	15780604.0	15780320.0	15666779.0	99559.0	9175.0	5091.0	0.24	0.01	1.82	0.01	1.62	5635692.0	19.96	5146.0	0.02	0.02	0.81	0.08	8837	357893	35347
RGP_677_3	22379004.0	202.0	19260883.0	86.07	200.11	12093740.0	12093481.0	12003149.0	76999.0	8535.0	5057.0	0.24	0.01	1.89	0.01	1.6	2779492.0	12.42	5548.0	0.02	0.02	0.82	0.09	7163	293684	32234
RGP_677_4	30630906.0	202.0	24174998.0	78.92	200.3	15472518.0	15472121.0	15356770.0	98070.0	10338.0	7340.0	0.28	0.01	1.88	0.01	1.6	5989899.0	19.56	13708.0	0.04	0.03	0.95	0.09	12681	401576	38044
RGP_7_1_2	44590058.0	202.0	41755751.0	93.64	199.7	38439859.0	38439764.0	38156550.0	242288.0	29252.0	11769.0	0.49	0.01	1.73	0.0	1.65	2128443.0	4.77	2413.0	0.01	0.1	0.61	0.04	93793	572140	37517
RGP_7_2_2	43859201.0	202.0	41368774.0	94.32	199.74	37344505.0	37344403.0	37063812.0	239456.0	30021.0	11216.0	0.48	0.01	1.94	0.0	1.63	1838687.0	4.19	4201.0	0.01	0.1	0.56	0.04	92506	518031	37002
RGP_7_3_2	48141195.0	202.0	44736538.0	92.93	199.94	40611545.0	40611354.0	40303416.0	264536.0	30041.0	13552.0	0.44	0.01	1.87	0.0	1.56	2733624.0	5.68	3411.0	0.01	0.08	0.47	0.04	90525	531834	45263
RGP_7_4_2	38726349.0	202.0	33637043.0	86.86	198.4	30904637.0	30904551.0	30687731.0	184943.0	22469.0	9494.0	0.57	0.01	1.92	0.0	1.66	2028399.0	5.24	3802.0	0.01	0.72	6.45	0.04	305286	2734858	16960
RGP_7_5_2	44177458.0	202.0	41523690.0	93.99	199.89	38321864.0	38321753.0	38019888.0	259473.0	30790.0	11713.0	0.43	0.01	1.85	0.0	1.58	2042072.0	4.62	3105.0	0.01	0.09	0.5	0.04	86942	483009	38641
RGP_800_3_2	23355344.0	202.0	21888649.0	93.72	200.61	19975779.0	19975591.0	19818769.0	143627.0	8214.0	5169.0	0.3	0.0	1.47	0.0	1.54	967917.0	4.14	673.0	0.0	0.03	1.78	0.04	8077	479258	10770
RGP_800_3_3	148051492.0	202.0	137108848.0	92.61	200.68	115803710.0	115802856.0	114591227.0	1123560.0	52879.0	36044.0	0.19	0.01	1.49	0.0	1.52	8470981.0	5.72	8523.0	0.01	0.01	0.32	0.07	61578	1970512	431050
RGP_94_3_2	47781577.0	202.0	37577778.0	78.64	200.68	26272750.0	26272207.0	26060654.0	181525.0	19000.0	11571.0	0.29	0.01	1.82	0.01	1.57	9209551.0	19.27	10671.0	0.02	0.02	0.98	0.11	17722	868383	97472
RGP_94_4_2	47353489.0	202.0	37721106.0	79.66	200.57	24480593.0	24480031.0	24274794.0	176569.0	16467.0	12763.0	0.3	0.01	1.81	0.01	1.58	8651652.0	18.27	10394.0	0.02	0.03	0.84	0.09	30323	849045	90969
SRPK3_EM__1	33020520.0	202.0	31384063.0	95.04	200.63	27271125.0	27270998.0	26990170.0	261721.0	11113.0	8121.0	0.22	0.01	1.66	0.0	1.42	1287746.0	3.9	568.0	0.0	0.04	0.54	0.04	22461	303221	22461
SRPK3_JAP_1	34050865.0	202.0	32313097.0	94.9	200.63	28349124.0	28349047.0	28092405.0	237269.0	13135.0	6315.0	0.22	0.01	1.55	0.0	1.42	1407136.0	4.13	668.0	0.0	0.03	0.43	0.05	19410	278205	32349
SRPK3_USA_1	81186001.0	202.0	75067394.0	92.46	199.9	53530213.0	53530013.0	53100681.0	388836.0	26411.0	14285.0	0.35	0.01	1.5	0.0	1.47	3884955.0	4.79	3923.0	0.0	0.26	2.14	0.08	233762	1924040	71927
SWE_36223_1	61402107.0	202.0	54887610.0	89.39	200.38	46980766.0	46980618.0	46608432.0	322318.0	37127.0	12889.0	0.26	0.01	1.73	0.01	1.6	5804754.0	9.45	8044.0	0.01	0.07	0.29	0.05	119802	496324	85573
SWE_36326_1	62317527.0	202.0	57270830.0	91.9	200.24	47310832.0	47310641.0	46936681.0	318165.0	42371.0	13615.0	0.27	0.01	1.86	0.01	1.52	4128967.0	6.63	5054.0	0.01	0.08	0.37	0.05	146028	675380	91268
T1244	34119049.0	152.0	31522255.0	92.39	149.65	15839191.0	15838960.0	15695348.0	128516.0	10337.0	4990.0	0.27	0.01	1.51	0.0	1.49	2087200.0	6.12	4720.0	0.01	0.05	0.5	0.04	42786	427859	34229
T238	42647488.0	152.0	39121330.0	91.73	149.69	22010582.0	22010022.0	21773431.0	219998.0	11876.0	5277.0	0.3	0.01	1.44	0.0	1.38	2927906.0	6.87	3447.0	0.01	0.06	0.56	0.03	54905	512447	27453
T757	30783860.0	152.0	28387363.0	92.22	149.26	9666684.0	9666485.0	9563961.0	91205.0	7684.0	3834.0	0.32	0.01	1.57	0.01	1.47	1861413.0	6.05	8112.0	0.03	0.07	0.63	0.06	48537	436832	41603
T850	32349974.0	152.0	29858555.0	92.3	149.5	15599560.0	15599328.0	15440844.0	143367.0	10492.0	4857.0	0.31	0.01	1.47	0.01	1.46	1978299.0	6.12	4144.0	0.01	0.06	0.61	0.04	43012	437289	28675
T892	32042793.0	152.0	29346412.0	91.59	149.29	14107681.0	14107570.0	13972789.0	121664.0	9567.0	3661.0	0.3	0.01	1.65	0.01	1.45	2146654.0	6.7	7840.0	0.02	0.07	0.62	0.04	51962	460233	29692
TOP_MAAC031_F_Muscle1	102626654.0	152.0	89066326.0	86.79	145.19	45255476.0	45254981.0	44878760.0	345624.0	19505.0	11587.0	0.51	0.01	1.35	0.0	1.42	8424330.0	8.21	80151.0	0.08	0.17	3.16	0.03	255802	4754904	45141
UC223-1RNA	34918759.0	152.0	31600430.0	90.5	149.61	14917813.0	14917223.0	14762190.0	143971.0	7686.0	3966.0	0.23	0.01	1.44	0.0	1.39	2385699.0	6.83	3360.0	0.01	0.03	1.04	0.03	25344	878583	25344
UC305-1M	59671416.0	152.0	52923181.0	88.69	149.31	28758161.0	28757353.0	28469627.0	265992.0	14378.0	8164.0	0.62	0.01	1.43	0.0	1.42	5287493.0	8.86	7240.0	0.01	0.23	1.7	0.01	172322	1273687	7492
UC316-1M	50773808.0	152.0	46884104.0	92.34	149.15	21992634.0	21992335.0	21761797.0	212340.0	13218.0	5279.0	0.65	0.01	1.41	0.0	1.47	2698574.0	5.31	4230.0	0.01	0.24	1.63	0.02	150717	1023623	12560
UC368-1M	69260381.0	152.0	61459541.0	88.74	149.39	30220167.0	30217940.0	29939537.0	259370.0	13696.0	7564.0	0.62	0.01	1.4	0.0	1.45	5984352.0	8.64	9127.0	0.01	0.25	1.88	0.05	207266	1558642	41453
UC393-1M	61282497.0	152.0	55076584.0	89.87	149.32	29756601.0	29756256.0	29436020.0	290814.0	20892.0	8875.0	0.6	0.01	1.48	0.0	1.53	4736049.0	7.73	13826.0	0.02	0.23	1.71	0.02	170862	1270319	14858
UC84-1RNA	27190217.0	152.0	24669948.0	90.73	150.22	13832978.0	13832782.0	13687995.0	135476.0	6534.0	2973.0	0.21	0.01	1.5	0.0	1.39	1806985.0	6.65	1200.0	0.0	0.02	0.67	0.02	20059	671967	20059
UWA_FAM7_PT_D16-1243_2	84673984.0	202.0	75981057.0	89.73	199.73	68172813.0	68172366.0	67562677.0	559905.0	26648.0	23583.0	0.26	0.0	1.5	0.0	1.47	7224097.0	8.53	10745.0	0.01	0.05	1.01	0.1	62848	1269540	125697
VCGS_DLS_FAM1_1	72323701.0	202.0	67883243.0	93.86	200.39	49785645.0	49785177.0	49392865.0	345143.0	30782.0	16855.0	0.29	0.01	2.38	0.01	1.88	3796304.0	5.25	4126.0	0.01	0.03	0.38	0.06	40853	517469	81706
VCGS_FAM11_32_2	45009403.0	202.0	41482712.0	92.16	199.91	37420974.0	37420824.0	37176263.0	208346.0	27754.0	8611.0	0.28	0.01	1.54	0.01	1.59	2730938.0	6.07	4598.0	0.01	0.07	0.64	0.04	73841	675119	42195
VCGS_FAM12_36_2	53300076.0	202.0	46803015.0	87.81	200.03	44052527.0	44052405.0	43747928.0	263932.0	28966.0	11701.0	0.26	0.01	1.84	0.0	1.5	5709937.0	10.71	6390.0	0.01	0.06	0.58	0.03	69916	675859	34958
VCGS_FAM147_459_2	61724511.0	202.0	57467235.0	93.1	200.79	57959218.0	57959022.0	57483843.0	427756.0	33755.0	13864.0	0.21	0.0	1.89	0.0	1.62	3159459.0	5.12	4221.0	0.01	0.02	0.52	0.06	36453	947783	109360
VCGS_FAM148_462_2	73594696.0	202.0	69542498.0	94.49	200.77	64014854.0	64014519.0	63471198.0	475779.0	50708.0	17169.0	0.22	0.01	2.08	0.01	1.52	3196978.0	4.34	4672.0	0.01	0.02	0.25	0.05	53159	664491	132898
VCGS_FAM149_465_2	74949007.0	202.0	70006644.0	93.41	200.97	62184072.0	62183722.0	61692019.0	430549.0	45027.0	16477.0	0.21	0.01	2.03	0.01	1.63	4165384.0	5.56	4920.0	0.01	0.02	0.57	0.04	24510	698530	49020
VCGS_FAM150_468_2	77809515.0	202.0	73054675.0	93.89	200.85	67192045.0	67191706.0	66622664.0	508201.0	43313.0	17867.0	0.23	0.01	2.04	0.01	1.52	3812918.0	4.9	5995.0	0.01	0.02	0.47	0.05	34664	814603	86660
VCGS_FAM1_1_2	52037988.0	202.0	47829945.0	91.91	199.99	43699758.0	43699533.0	43386303.0	264402.0	37397.0	11656.0	0.28	0.01	1.87	0.01	1.5	3355133.0	6.45	3527.0	0.01	0.07	0.55	0.03	91472	718709	39202
VCGS_FAM22_69_2	58113992.0	202.0	54122622.0	93.13	200.01	49284197.0	49283834.0	48878888.0	350515.0	40257.0	14537.0	0.3	0.01	1.63	0.01	1.49	3076638.0	5.29	26657.0	0.05	0.08	0.68	0.06	86641	736452	64981
VCGS_FAM26_81_2	43654834.0	202.0	40656927.0	93.13	199.87	35176431.0	35176133.0	34882742.0	254828.0	28912.0	9949.0	0.3	0.01	1.8	0.01	1.47	2335691.0	5.35	24447.0	0.06	0.08	0.54	0.04	77305	521811	38653
VCGS_FAM27_84_2	42571507.0	202.0	39730841.0	93.33	199.9	36148000.0	36147890.0	35905476.0	206642.0	26773.0	9109.0	0.28	0.01	1.68	0.01	1.62	2215937.0	5.21	3036.0	0.01	0.06	0.54	0.04	58284	524553	38856
VCGS_FAM29_90	46616418.0	202.0	42194754.0	90.51	200.81	40040935.0	40040654.0	39735112.0	270066.0	25077.0	10680.0	0.16	0.01	2.04	0.01	1.6	3359162.0	7.21	2431.0	0.01	0.01	0.53	0.05	17967	952267	89837
VCGS_FAM2_4_2	71204176.0	202.0	65806691.0	92.42	200.87	66122377.0	66122061.0	65543477.0	524996.0	37519.0	16385.0	0.2	0.01	2.44	0.0	1.53	3614388.0	5.08	4066.0	0.01	0.02	1.96	0.06	17441	1709265	52324
VCGS_FAM31_97_2	48756335.0	202.0	44110513.0	90.47	199.79	40342659.0	40342491.0	40060755.0	245417.0	26233.0	10254.0	0.29	0.01	1.67	0.01	1.61	3886154.0	7.97	5523.0	0.01	0.07	0.87	0.03	54423	676398	23324
VCGS_FAM39_123	37884317.0	202.0	34310782.0	90.57	200.83	30852178.0	30852014.0	30619351.0	203251.0	21447.0	8129.0	0.16	0.01	1.94	0.01	1.59	2790298.0	7.37	3704.0	0.01	0.01	0.48	0.04	14708	705992	58833
VCGS_FAM3_7_2	78212703.0	202.0	72447776.0	92.63	200.68	69497924.0	69497506.0	69006237.0	431947.0	41998.0	17742.0	0.22	0.01	2.03	0.01	1.63	4056164.0	5.19	6033.0	0.01	0.02	0.61	0.05	50080	1527449	125201
VCGS_FAM41_129_2	40972574.0	202.0	36904923.0	90.07	200.0	34448546.0	34448434.0	34199423.0	215016.0	25574.0	8533.0	0.28	0.01	1.77	0.0	1.46	3404022.0	8.31	2568.0	0.01	0.07	0.62	0.03	64270	569247	27544
VCGS_FAM42_132_2	43853569.0	202.0	40725277.0	92.87	199.86	36867738.0	36867619.0	36618356.0	214175.0	27226.0	7981.0	0.28	0.01	1.58	0.01	1.58	2385287.0	5.44	10123.0	0.02	0.07	0.58	0.04	74350	616046	42486
VCGS_FAM49_153	51278838.0	202.0	47066614.0	91.79	200.87	42721603.0	42721390.0	42348969.0	330174.0	29609.0	12851.0	0.17	0.01	2.11	0.01	1.56	3262118.0	6.36	2000.0	0.0	0.01	0.46	0.04	18590	855154	74361
VCGS_FAM4_13_2	51827728.0	202.0	47543477.0	91.73	199.98	41662521.0	41662327.0	41348370.0	266133.0	36755.0	11263.0	0.27	0.01	1.81	0.01	1.51	3411514.0	6.58	3023.0	0.01	0.06	0.59	0.03	76739	754605	38370
VCGS_FAM52_162_3	69186899.0	202.0	64722822.0	93.55	200.9	61683915.0	61683520.0	61226334.0	399472.0	42929.0	15180.0	0.23	0.01	1.88	0.01	1.6	3879069.0	5.61	4160.0	0.01	0.02	0.38	0.03	27016	513308	40524
VCGS_FAM58_181	46881542.0	202.0	43180988.0	92.11	200.95	41102463.0	41102224.0	40738607.0	322908.0	30329.0	10619.0	0.15	0.01	1.97	0.01	1.54	2611916.0	5.57	2025.0	0.0	0.01	0.85	0.05	11941	1014968	59704
VCGS_FAM61_190	58498020.0	202.0	54254866.0	92.75	200.88	49811771.0	49811559.0	49355728.0	402035.0	38399.0	15609.0	0.17	0.0	1.73	0.01	1.52	3324892.0	5.68	5986.0	0.01	0.01	0.36	0.05	21721	781951	108604
VCGS_FAM67_209	49519650.0	202.0	45656955.0	92.2	200.95	42910984.0	42910737.0	42565141.0	305505.0	29044.0	11294.0	0.16	0.01	1.88	0.01	1.58	2932023.0	5.92	3847.0	0.01	0.01	0.55	0.05	15194	835662	75969
VCGS_FAM73_227_2	70649774.0	202.0	66180262.0	93.67	200.74	60917894.0	60917562.0	60411850.0	440170.0	48767.0	17107.0	0.23	0.01	1.8	0.01	1.56	3700275.0	5.24	4113.0	0.01	0.02	0.23	0.04	52767	606822	105534
VCGS_FAM84_260	36710556.0	202.0	34156212.0	93.04	200.93	30613353.0	30613229.0	30317577.0	261155.0	24526.0	10095.0	0.17	0.01	1.84	0.01	1.53	1917795.0	5.22	4517.0	0.01	0.01	0.45	0.07	11925	536631	83476
VIL_17_097	57664223.0	202.0	53437655.0	92.67	200.76	43619740.0	43619426.0	43137308.0	449884.0	18213.0	14335.0	0.2	0.01	1.63	0.0	1.48	3014648.0	5.23	1812.0	0.0	0.02	0.37	0.09	50421	932792	226895
VIL_17_098	47328162.0	202.0	44443913.0	93.91	200.78	35451158.0	35450824.0	35063369.0	356885.0	18710.0	12194.0	0.22	0.01	1.75	0.01	1.48	2193927.0	4.64	2862.0	0.01	0.02	0.27	0.07	38192	515595	133673
VIL_17_099	58855365.0	202.0	54697960.0	92.94	200.72	43332174.0	43331872.0	42745906.0	556386.0	19055.0	10827.0	0.21	0.01	1.59	0.01	1.5	2907043.0	4.94	2010.0	0.0	0.01	0.29	0.05	35667	1034349	178336
VIL_17_105	50298662.0	202.0	47045755.0	93.53	200.76	39480521.0	39480318.0	39016583.0	436867.0	16576.0	10495.0	0.23	0.01	1.74	0.01	1.5	2347461.0	4.67	1418.0	0.0	0.02	0.33	0.05	45201	745823	113004
VIL_17_106	62638200.0	202.0	59108595.0	94.37	200.85	49692412.0	49692110.0	49133513.0	522648.0	21753.0	14498.0	0.22	0.01	1.77	0.01	1.5	2783171.0	4.44	2461.0	0.0	0.02	0.22	0.09	45089	495982	202902
VIL_17_107	71126219.0	202.0	66195761.0	93.07	200.82	53421447.0	53421123.0	52857535.0	523586.0	23951.0	16375.0	0.2	0.01	1.76	0.01	1.58	3505187.0	4.93	3100.0	0.0	0.01	0.35	0.08	32322	1131272	258577
VIL_17_110	51857289.0	202.0	48664572.0	93.84	200.87	40557193.0	40556948.0	40113235.0	410838.0	21350.0	11770.0	0.21	0.01	1.73	0.01	1.51	2274040.0	4.39	2367.0	0.0	0.01	0.33	0.04	24113	795743	96454
VIL_17_111	41076886.0	202.0	38766502.0	94.38	200.91	32110191.0	32109966.0	31768448.0	319973.0	12690.0	9080.0	0.21	0.01	1.71	0.0	1.45	1778322.0	4.33	2449.0	0.01	0.02	0.36	0.11	21617	389103	118893
VIL_17_120	62933893.0	202.0	59154467.0	93.99	200.82	48582393.0	48581927.0	48104891.0	440000.0	21370.0	16132.0	0.21	0.01	1.67	0.01	1.49	2806825.0	4.46	2510.0	0.0	0.02	0.37	0.1	39596	732518	197978
VIL_17_121	69741973.0	202.0	65239690.0	93.54	200.82	53628736.0	53628368.0	53041083.0	548990.0	23794.0	14869.0	0.21	0.01	1.55	0.01	1.47	3456174.0	4.96	7832.0	0.01	0.01	0.28	0.1	26622	745430	266225
VIL_17_141	53824715.0	202.0	50483130.0	93.79	201.0	43161934.0	43161662.0	42714286.0	413719.0	19215.0	14714.0	0.19	0.01	1.67	0.01	1.53	2470341.0	4.59	2228.0	0.0	0.01	0.26	0.09	24139	627623	217254
VIL_17_150	81582638.0	202.0	75901378.0	93.04	200.85	63884159.0	63883687.0	63112923.0	714107.0	37374.0	19755.0	0.22	0.01	1.63	0.0	1.47	4376981.0	5.37	5312.0	0.01	0.01	0.35	0.12	27062	947163	324742
VIL_17_151	76382141.0	202.0	70981367.0	92.93	200.82	59809118.0	59808683.0	59064242.0	700116.0	28911.0	15849.0	0.22	0.01	1.61	0.0	1.45	4182649.0	5.48	7051.0	0.01	0.01	0.27	0.11	31053	838436	341585
VIL_17_152	73484082.0	202.0	68959820.0	93.84	200.99	55612221.0	55611865.0	54952433.0	619129.0	24109.0	16550.0	0.21	0.01	1.75	0.01	1.48	3780345.0	5.14	4516.0	0.01	0.01	0.27	0.09	19984	539563	179854
VIL_17_163	26034739.0	202.0	24299889.0	93.34	200.77	18019732.0	18019619.0	17805830.0	202803.0	6623.0	4476.0	0.21	0.01	1.56	0.0	1.45	1338316.0	5.14	861.0	0.0	0.01	0.31	0.04	10991	340718	43964
VIL_17_164	54563674.0	202.0	50694811.0	92.91	200.76	41791773.0	41791487.0	41284458.0	463679.0	31834.0	11802.0	0.21	0.01	1.64	0.0	1.48	2813641.0	5.16	2347.0	0.0	0.01	0.24	0.07	32902	789656	230316
VIL_18_045	65954771.0	202.0	61162429.0	92.73	200.74	53384169.0	53383833.0	52839706.0	506394.0	21151.0	16918.0	0.21	0.01	1.85	0.01	1.47	3423716.0	5.19	3219.0	0.0	0.01	0.34	0.07	32510	1105329	227568
