Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
431-1_A_3	45839708.0	202.0	41335282.0	90.17	199.53	36529153.0	36520564.0	36208753.0	252559.0	30945.0	36896.0	0.54	0.01	1.81	0.01	1.58	3623198.0	7.9	14448.0	0.03	0.15	0.49	0.55	109258	356909	400613
431-2_A_2	36933448.0	202.0	33734119.0	91.34	199.39	27839506.0	27839222.0	27582318.0	215362.0	26275.0	15551.0	0.54	0.01	1.73	0.01	1.56	2470917.0	6.69	14205.0	0.04	0.11	0.52	0.41	75541	357104	281562
432-3_A_2	38623295.0	202.0	35878473.0	92.89	199.63	31741533.0	31741319.0	31448562.0	245558.0	29516.0	17897.0	0.49	0.01	1.71	0.0	1.47	2115202.0	5.48	8702.0	0.02	0.12	0.6	0.08	93138	465688	62092
437-2_A_2	42200591.0	202.0	39456345.0	93.5	199.6	33291200.0	33290908.0	32998070.0	247923.0	31723.0	13484.0	0.52	0.01	1.63	0.0	1.49	2227955.0	5.28	11850.0	0.03	0.11	0.5	0.06	82819	376449	45174
437-3_A_2	41522194.0	202.0	38618513.0	93.01	199.57	32639629.0	32636470.0	32351536.0	245386.0	29597.0	13110.0	0.47	0.01	1.73	0.0	1.46	2270232.0	5.47	10286.0	0.02	0.19	0.48	0.12	149875	378631	94658
447-3_A_3	51850481.0	202.0	46869278.0	90.39	198.91	39404097.0	39402417.0	39042317.0	312617.0	34404.0	14759.0	0.4	0.01	1.99	0.01	1.5	4073737.0	7.86	12299.0	0.02	0.17	0.91	0.16	122725	656937	115505
46N_RL_M1	77285294.0	152.0	70622488.0	91.38	149.85	41268399.0	41267848.0	40801549.0	432166.0	23233.0	11451.0	0.31	0.01	1.56	0.0	1.43	5234448.0	6.77	7046.0	0.01	0.09	1.05	0.03	109332	1275536	36444
49O_NM_M1	315107488.0	152.0	285297873.0	90.54	149.78	166544464.0	166541046.0	164545493.0	1825654.0	125385.0	47932.0	0.27	0.01	1.5	0.0	1.4	25163661.0	7.99	71323.0	0.02	0.06	0.63	0.08	356465	3742880	475286
65T_CR_M1	66812590.0	152.0	60799065.0	91.0	150.08	31860283.0	31859783.0	31531844.0	300451.0	18655.0	9333.0	0.27	0.01	1.41	0.0	1.38	5012571.0	7.5	7654.0	0.01	0.07	0.69	0.03	88014	867566	37720
81AB_MM_M1	64204964.0	152.0	55705616.0	86.76	148.82	27953739.0	27952959.0	27633126.0	284609.0	27464.0	8540.0	1.04	0.01	1.39	0.0	1.37	6076856.0	9.46	22697.0	0.04	0.64	2.53	0.03	479959	1897338	22498
92AI_SM	49813550.0	202.0	44907021.0	90.15	200.05	33138319.0	33137135.0	32777391.0	330869.0	17519.0	12540.0	0.28	0.01	1.67	0.01	1.56	3334717.0	6.69	7741.0	0.02	0.13	0.44	0.3	233712	791024	539335
9C_DH_M1	72075991.0	152.0	65625171.0	91.05	150.08	32614334.0	32613890.0	32256477.0	317495.0	31551.0	8811.0	0.28	0.01	1.42	0.0	1.43	5392550.0	7.48	8374.0	0.01	0.07	0.73	0.03	88545	923403	37948
B09-24-1RNA_UNKNOWN	159214127.0	152.0	138419590.0	86.94	147.97	64855821.0	64853749.0	64194721.0	604396.0	38189.0	18515.0	1.29	0.01	1.48	0.0	1.42	11259588.0	7.07	24304.0	0.02	0.9	3.97	0.03	1746853	7705563	58228
B09-25-1RNA	30236759.0	152.0	27047585.0	89.45	149.26	13927979.0	13927719.0	13764737.0	153103.0	6368.0	3771.0	0.27	0.01	1.47	0.0	1.48	2212419.0	7.32	3474.0	0.01	0.03	1.02	0.03	27036	919210	27036
B09-40-1M	56932961.0	152.0	50098819.0	88.0	149.3	30492552.0	30492184.0	30203671.0	265764.0	15714.0	7403.0	0.6	0.01	1.47	0.0	1.43	5363933.0	9.42	28325.0	0.05	0.22	1.79	0.04	154739	1259011	28134
B10-02-1RNA	90288949.0	152.0	79810970.0	88.4	148.65	39830355.0	39829339.0	39414073.0	378979.0	23186.0	14117.0	0.71	0.01	1.45	0.0	1.45	6767030.0	7.49	17189.0	0.02	0.22	2.19	0.03	333044	3315301	45415
B11-11-1M	46759654.0	152.0	42867615.0	91.68	149.03	20800209.0	20800058.0	20572886.0	204404.0	18052.0	4867.0	0.66	0.01	1.41	0.0	1.4	2582598.0	5.52	4738.0	0.01	0.26	2.03	0.02	146850	1146557	11296
B11-25-1M	88144783.0	152.0	80126846.0	90.9	149.62	34477782.0	34477268.0	34089136.0	351104.0	25625.0	11917.0	0.51	0.01	1.65	0.01	1.43	5876240.0	6.67	10114.0	0.01	0.16	1.67	0.03	183362	1913841	34380
B11-48-1M	58381590.0	152.0	52437580.0	89.82	149.41	29121363.0	29120783.0	28835714.0	265091.0	13001.0	7557.0	0.63	0.01	1.4	0.0	1.37	4584227.0	7.85	3848.0	0.01	0.24	1.67	0.01	169492	1179381	7062
B12-21-1M	64650996.0	152.0	56824870.0	87.89	149.33	32619570.0	32618676.0	32287881.0	305690.0	17783.0	8216.0	0.62	0.01	1.44	0.0	1.37	6358644.0	9.84	18442.0	0.03	0.21	1.55	0.03	169999	1254755	24286
B12-30RNA	152447423.0	152.0	136828178.0	89.75	150.59	73456894.0	73456332.0	72817127.0	578222.0	39295.0	22250.0	0.3	0.01	1.47	0.0	1.48	7880647.0	5.17	17691.0	0.01	0.04	4.0	0.03	75881	7588115	56911
B13-07-1M	121236765.0	152.0	108123220.0	89.18	149.73	60576120.0	60574710.0	59889109.0	628637.0	43832.0	14542.0	0.52	0.01	1.42	0.0	1.41	10328830.0	8.52	14621.0	0.01	0.16	1.58	0.02	251827	2486789	31478
B13-07-1RNA	27819213.0	152.0	25198639.0	90.58	149.83	13145787.0	13145545.0	12990534.0	144601.0	7608.0	3044.0	0.2	0.01	1.47	0.0	1.41	1890875.0	6.8	2265.0	0.01	0.03	0.9	0.03	22732	681969	22732
B13-15RNA	41338413.0	152.0	37821183.0	91.49	149.21	17707661.0	17707357.0	17479932.0	210681.0	11573.0	5475.0	0.23	0.01	1.52	0.01	1.46	2282616.0	5.52	7060.0	0.02	0.03	1.09	0.04	31747	1153477	42329
B13-52-1M	54012818.0	152.0	49063154.0	90.84	149.24	23418993.0	23418569.0	23174504.0	219722.0	20250.0	4517.0	0.66	0.01	1.36	0.0	1.39	3687942.0	6.83	5161.0	0.01	0.24	1.62	0.03	159563	1077052	19945
B14-07RNA	37344647.0	152.0	34122273.0	91.37	150.67	17717147.0	17716633.0	17530775.0	170465.0	10539.0	5368.0	0.21	0.01	1.48	0.0	1.43	2474155.0	6.63	4659.0	0.01	0.02	0.37	0.04	34584	639807	69168
B14-117-1RNA-2	33286874.0	152.0	30064307.0	90.32	150.54	15195765.0	15195434.0	15041004.0	142119.0	8068.0	4574.0	0.2	0.01	1.47	0.0	1.45	2617167.0	7.86	3530.0	0.01	0.03	0.46	0.03	34723	532423	34723
B14-130-1M	61389142.0	152.0	54847930.0	89.34	149.49	30676169.0	30675542.0	30378258.0	267321.0	20679.0	9911.0	0.59	0.01	1.38	0.0	1.44	5163127.0	8.41	16390.0	0.03	0.22	1.56	0.02	166429	1180136	15130
B14-48-1RNA	26860728.0	152.0	24197998.0	90.09	150.1	11499797.0	11499501.0	11391677.0	96984.0	7314.0	3822.0	0.21	0.01	1.51	0.01	1.44	1946344.0	7.25	5468.0	0.02	0.03	0.64	0.04	30039	640827	40052
B14-70-1RNA	30951720.0	152.0	28359086.0	91.62	150.7	15186292.0	15186000.0	15026583.0	147488.0	8366.0	3855.0	0.2	0.01	1.49	0.0	1.41	2027428.0	6.55	3490.0	0.01	0.02	0.45	0.03	22469	505544	33703
B14-78-1-U	72962266.0	152.0	66278716.0	90.84	149.45	32961802.0	32961356.0	32658519.0	274550.0	19302.0	9431.0	0.61	0.01	1.42	0.0	1.51	5122832.0	7.02	6713.0	0.01	0.2	1.49	0.02	181755	1354075	18175
B15-15_1_1	150597359.0	202.0	140874261.0	93.54	200.02	101071161.0	101069958.0	100186629.0	807383.0	44709.0	32440.0	0.36	0.01	1.48	0.0	1.5	7273573.0	4.83	9663.0	0.01	0.11	0.98	0.05	235425	2097425	107011
B15-25_1_2	10550169.0	202.0	7948541.0	75.34	199.49	1164167.0	1164142.0	1150915.0	10520.0	2454.0	278.0	0.37	0.01	1.24	0.0	1.29	597671.0	5.67	608.0	0.01	0.15	18.56	0.01	16052	1986226	1070
B15-28_1_1	156324709.0	202.0	144973665.0	92.74	199.79	115956703.0	115955275.0	114927136.0	949191.0	51375.0	29001.0	0.4	0.01	1.44	0.0	1.54	8053193.0	5.15	8547.0	0.01	0.16	1.43	0.07	317041	2833557	138706
B16-47_1_2	27628704.0	202.0	24137698.0	87.36	199.54	3121761.0	3121742.0	3047659.0	70278.0	3480.0	344.0	0.35	0.01	1.11	0.0	1.22	1858349.0	6.73	437.0	0.0	0.1	5.41	0.0	29623	1602597	0
B16-48_1_1	119850294.0	202.0	110834725.0	92.48	199.51	79764083.0	79763397.0	78991813.0	690316.0	48734.0	33220.0	0.38	0.01	1.59	0.0	1.54	6719825.0	5.61	10916.0	0.01	0.14	1.07	0.06	251871	1925013	107945
BB0280_CH_AffF_2	33783811.0	202.0	32202546.0	95.32	200.61	27628016.0	27627828.0	27397555.0	209996.0	13252.0	7213.0	0.21	0.01	1.65	0.0	1.49	1277245.0	3.78	1312.0	0.0	0.04	0.36	0.04	27519	247670	27519
BEG_1025-1_T999	66262674.0	202.0	61372364.0	92.62	197.22	52636186.0	52635936.0	52032942.0	560253.0	24510.0	18481.0	0.2	0.0	1.61	0.0	1.49	3418376.0	5.16	3765.0	0.01	0.01	0.62	0.06	21278	1319224	127667
BEG_1078-1_T1071	88624696.0	202.0	82317620.0	92.88	197.24	69086960.0	69086560.0	68372783.0	668893.0	26151.0	19133.0	0.21	0.0	1.44	0.0	1.49	5136244.0	5.8	3731.0	0.0	0.01	0.15	0.05	55576	833644	277881
BEG_1111-1_T1105	64332032.0	202.0	59678879.0	92.77	200.58	54558620.0	54558247.0	53990999.0	510779.0	32399.0	24443.0	0.16	0.01	1.66	0.0	1.54	3499045.0	5.44	6062.0	0.01	0.01	0.31	0.06	30212	936564	181270
BEG_1230-1_T1227	40251847.0	202.0	37032275.0	92.0	197.24	31213412.0	31213124.0	30900187.0	287834.0	15586.0	9805.0	0.2	0.01	1.6	0.01	1.54	2329263.0	5.79	2112.0	0.01	0.01	0.69	0.04	12003	828184	48011
BEG_14-4_T65	59846545.0	202.0	54769204.0	91.52	197.08	48423032.0	48422680.0	47922525.0	466394.0	19945.0	14168.0	0.2	0.01	1.63	0.01	1.5	3398028.0	5.68	3269.0	0.01	0.01	0.43	0.08	32232	1385959	257853
BEG_1435-01_T1370	65318984.0	202.0	60539696.0	92.68	200.61	57491765.0	57491446.0	56815706.0	614277.0	23119.0	38663.0	0.17	0.01	1.65	0.0	1.56	3575722.0	5.47	3761.0	0.01	0.01	0.27	0.06	35288	952786	211730
BEG_1438-1_T1339	67473987.0	202.0	62656842.0	92.86	197.19	54428754.0	54428436.0	53842331.0	540737.0	26813.0	18873.0	0.21	0.01	1.58	0.0	1.49	3308593.0	4.9	2787.0	0.0	0.01	0.41	0.05	32038	1313540	160188
BEG_851-1_T840	75338044.0	202.0	68661957.0	91.14	197.14	45520208.0	45519962.0	45068165.0	407834.0	28646.0	15563.0	0.2	0.01	1.68	0.01	1.59	5204041.0	6.91	9604.0	0.01	0.01	0.97	0.13	13175	1277990	171277
BEG_887-1_T1240	71930904.0	202.0	64626281.0	89.84	197.36	54525444.0	54525090.0	54024318.0	445787.0	36429.0	18910.0	0.19	0.01	1.8	0.01	1.57	5861817.0	8.15	6930.0	0.01	0.01	1.22	0.06	11131	1357960	66785
BEG_916-1_T916	63006039.0	202.0	58423225.0	92.73	197.28	51879580.0	51879292.0	51267877.0	560311.0	34026.0	17366.0	0.18	0.0	1.67	0.0	1.48	3354905.0	5.32	4308.0	0.01	0.01	0.32	0.07	30590	978881	214130
BON_B09-27-1_1	30520299.0	202.0	27859314.0	91.28	197.48	20626895.0	20626694.0	20473320.0	140811.0	7863.0	4901.0	0.95	0.01	1.55	0.0	1.5	1501619.0	4.92	1876.0	0.01	0.72	2.02	0.06	297640	835046	24803
BON_B09-8_1	60903022.0	202.0	56517319.0	92.8	199.96	44634897.0	44634590.0	44144150.0	457533.0	22273.0	10941.0	0.49	0.01	1.77	0.0	1.52	3406847.0	5.59	3387.0	0.01	0.05	0.49	0.06	81289	796633	97547
BON_B12-33-2_1	30781001.0	202.0	28173088.0	91.53	197.6	17689320.0	17689176.0	17511331.0	164783.0	8285.0	4921.0	0.97	0.01	1.57	0.0	1.44	1453032.0	4.72	2419.0	0.01	0.74	2.14	0.09	287145	830393	34923
BON_B12-71_2	104178126.0	202.0	96106670.0	92.25	200.66	89045089.0	89043808.0	88261435.0	699914.0	59001.0	24739.0	0.22	0.01	1.73	0.01	1.61	6813417.0	6.54	10671.0	0.01	0.01	0.6	0.05	18900	1133971	94498
BON_B12-74-1_1	31049489.0	202.0	28369706.0	91.37	197.55	19972277.0	19972099.0	19798399.0	161420.0	7688.0	4770.0	0.95	0.01	1.53	0.0	1.45	1530806.0	4.93	1396.0	0.0	0.73	2.02	0.04	300263	830865	16453
