Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too many mismatches	Unmapped: too short	Unmapped: other
HK-070	48957541.0	2606221.0	3188.0	22871.0	457424.0	114356.0
HK-071-001	147134877.0	8612692.0	17257.0	51222.0	1946427.0	256109.0
HK-071-004	43149605.0	2266193.0	1783.0	15679.0	407665.0	78397.0
HK-073	117976887.0	5232598.0	8560.0	40141.0	883103.0	240846.0
HK-075	109973609.0	4886068.0	8718.0	52392.0	1100221.0	314349.0
HK-081	113596761.0	5225887.0	7515.0	41649.0	874635.0	208246.0
HK-085	130716259.0	6123428.0	8218.0	42843.0	1499492.0	257056.0
HK-087	115375129.0	5237913.0	7498.0	54670.0	1640110.0	328022.0
HK-095	111797567.0	5062145.0	7115.0	28081.0	3004714.0	140407.0
HK-100	129163706.0	6476638.0	11576.0	78216.0	2033616.0	469296.0
HK-104	99555343.0	5035441.0	8009.0	57954.0	1043171.0	347724.0
HK-107	107974351.0	4645111.0	7788.0	44950.0	809100.0	314650.0
HK-108	117758839.0	5207514.0	10624.0	52786.0	950148.0	369502.0
HK-114	44569143.0	2270954.0	2680.0	16056.0	401407.0	80281.0
HK-115	118489849.0	5193134.0	7242.0	50952.0	1019030.0	356660.0
HK-116	97302653.0	4353678.0	8646.0	57204.0	1029671.0	343224.0
HK-119	106348018.0	5069522.0	8275.0	36694.0	697189.0	220165.0
HK-124	120806565.0	5380012.0	7315.0	44585.0	936289.0	312096.0
HK-126	138073000.0	5755948.0	13660.0	60110.0	1021878.0	300552.0
HK-127	106338498.0	4472134.0	7858.0	37915.0	720387.0	265406.0
HK-131	102589571.0	4472151.0	9196.0	36381.0	727616.0	254666.0
HK-133	37920481.0	1891269.0	2021.0	15095.0	437748.0	75474.0
HK-134	114976083.0	5112653.0	12392.0	44825.0	1210280.0	268951.0
HK-139	69711508.0	2971717.0	4694.0	27024.0	621547.0	135119.0
HK006_0016	41061307.0	2202356.0	3417.0	15647.0	344227.0	93880.0
HK010_0026	88692305.0	4313022.0	9928.0	46142.0	738271.0	276852.0
HK011_0029	46386576.0	3781912.0	3356.0	23225.0	812884.0	116126.0
HK018_0047_2	43929757.0	2695475.0	4402.0	106766.0	680635.0	66729.0
HK024_0065	52281923.0	4522685.0	4899.0	18995.0	778788.0	113969.0
HK028_0073	48686330.0	3048610.0	3552.0	24961.0	798738.0	124803.0
HK044_0109	44338192.0	2275497.0	3333.0	25441.0	864994.0	127205.0
HK060-0154	53114902.0	2806232.0	2148.0	14919.0	1514277.0	37297.0
HK069-0177_2	41414338.0	2046624.0	850.0	24086.0	698505.0	32115.0
HK072-001_2	62921983.0	3708335.0	2180.0	34597.0	795725.0	25948.0
HK085-001	84602297.0	4035335.0	6494.0	51271.0	1025416.0	256354.0
HK088-001_2	42265043.0	1547525.0	3367.0	57738.0	368079.0	64955.0
HK101-001	100442487.0	6654861.0	8686.0	46590.0	1817029.0	232952.0
HK106-001	45266597.0	3558119.0	4171.0	21083.0	843337.0	105417.0
ICCV_458_10CC06258_02	54863117.0	3315763.0	2486.0	123468.0	873776.0	56985.0
INMR_GB_408	42451323.0	2601728.0	6988.0	43160.0	906370.0	194222.0
INMR_GI_456	40767447.0	2692350.0	3589.0	38137.0	1296669.0	266961.0
INMR_HW_389	99702683.0	6584100.0	8785.0	79318.0	1586367.0	317273.0
INMR_HZ_401	106779156.0	6583108.0	19282.0	42274.0	1690968.0	507290.0
INMR_IG_561	106980249.0	6783448.0	11886.0	99703.0	1545404.0	448666.0
INMR_IK_581	96458023.0	7009598.0	11702.0	99039.0	1733184.0	297117.0
INMR_IV_615	75414743.0	4704311.0	6539.0	53281.0	1438587.0	213124.0
K1157-1-4	64472527.0	5017303.0	6772.0	128717.0	606808.0	128717.0
LIA_EDW01_1	25195246.0	1743336.0	1599.0	15727.0	460017.0	27522.0
LIA_MAS02_2	77010493.0	6872031.0	10844.0	73310.0	938363.0	117295.0
LIA_TIS03_2	23373093.0	1517170.0	2149.0	20865.0	318186.0	36513.0
MAN_0063_01_02	1600202.0	67316.0	199.0	4380.0	66494.0	398.0
MAN_0063_01_03	262809.0	33477.0	146.0	2011.0	48865.0	423.0
MAN_1001_01_M1_D1	71307125.0	3912517.0	5028.0	16238.0	958038.0	129903.0
MAN_1438-01-M1	77768160.0	4804319.0	4635.0	20709.0	1014734.0	103544.0
MBEL028_001_3	32411434.0	1345221.0	729.0	24872.0	267377.0	18654.0
MBEL028_002_1	34942697.0	1546766.0	1028.0	18398.0	337302.0	24531.0
